absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	1	2	1.0000	0.0000	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	1	2	1.0014	0.0000	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	1	2	0.9901	0.0000	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	273158	273445	1.0033	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	273158	273445	1.0047	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	273158	273445	0.9934	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	273446	273493	1.0028	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	273446	273493	1.0042	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	273446	273493	0.9929	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	273494	273724	1.0025	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	273494	273724	1.0039	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	273494	273724	0.9926	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	273725	273727	1.0023	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	273725	273727	1.0037	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	273725	273727	0.9924	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	273728	274093	1.0017	0.0003	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	273728	274093	1.0031	0.0003	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	273728	274093	0.9918	0.0003	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274094	274171	1.0019	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274094	274171	1.0033	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274094	274171	0.9920	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274172	274240	1.0024	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274172	274240	1.0038	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274172	274240	0.9925	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274241	274243	1.0023	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274241	274243	1.0037	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274241	274243	0.9924	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274244	274250	1.0026	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274244	274250	1.0040	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274244	274250	0.9927	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274251	274315	1.0031	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274251	274315	1.0045	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274251	274315	0.9932	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274316	274316	1.0029	0.0002	0.0000	0.0013	0.0000
absEta_0_1-lowR9-Et_0_20-gainEle_6	runNumber	274316	274316	1.0043	0.0002	0.0000	0.0013	0.0007
absEta_0_1-lowR9-Et_0_20-gainEle_1	runNumber	274316	274316	0.9930	0.0002	0.0000	0.0013	0.0050
absEta_0_1-lowR9-Et_0_20-gainEle_12	runNumber	274317	274335	1.0031	0.0002	0.0000	0.0013	0.0000
