absEta_0_1-highR9-Et_0_20	runNumber	1	2	1.0000	0.0000	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	273158	273491	1.0053	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	273492	273727	1.0047	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	273728	274199	1.0043	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274200	274249	1.0046	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274250	274316	1.0054	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274317	274344	1.0050	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274345	274419	1.0056	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274420	274439	1.0050	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274440	274968	1.0053	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274969	274998	1.0047	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	274999	275058	1.0043	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275059	275073	1.0051	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275074	275283	1.0043	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275284	275310	1.0040	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275311	275344	1.0045	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275345	275375	1.0049	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275376	275656	1.0037	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275657	275831	1.0029	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275832	275836	1.0030	0.0001	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275837	275885	1.0018	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275886	275911	1.0027	0.0002	0.0001	0.0015
absEta_0_1-highR9-Et_0_20	runNumber	275912	276241	1.0029	0.0001	0.0001	0.0015
